Listagem de Impressoras:

Nº	Setor	Impressora	IP	Serial
1				
2				
3	Anestesia	Samsung SL-M4020ND	192.168.160.114	ZDEJB07JC10TJ4
4	Central de Material	Samsung SL-M4020ND	192.168.160.132	ZDEJB07JC10TMP
5	Centro Cirúrgico	HP LaserJet Flow MFP E52645	192.168.160.125	BRBSQ8P013
6	Centro Cirúrgico	ZEBRA ZD2301	192.168.160.238	
7	Clinica Cirúrgica	HP LaserJet Flow MFP E52645	192.168.160.118	BRBSQ7D0N0
8	Clinica Médica Feminina	HP LaserJet Flow MFP E52645	192.168.160.102	BRBSQ8L0SM
9	Clinica Médica Masculina	HP LaserJet Flow MFP E52645	192.168.160.110	BRBSQ9G031
10	Clinica Pediátrica	HP LaserJet Flow MFP E52645	192.168.160.112	BRBSQ8P023
11	Consultório1	Samsung SL-M4020ND	192.168.160.121	ZDEJB07JC10TMQ
12	Coordenação de Enfermagem	Samsung SL-M4020ND	192.168.160.133	ZDEJB07JC10TKG
13	Coordenação Nutrição	Samsung SL-M4020ND	192.168.160.104	ZDEJB07JC10TJG
14	Diretoria Administrativa	HP LaserJet Flow MFP E52645	192.168.160.129	BRBSQ8P021
15	Diretoria de Enfermagem	HP LaserJet Flow MFP E52645	192.168.160.106	BRBSQ8L0RV
16	Diretoria Técnica	HP Color LaserJet MFP E57540	192.168.160.21	BRBSQ8V04M
17	Educação Permanente	HP LaserJet Flow MFP E52645	192.168.160.122	BRBSQ8P032
18	Emergência	Samsung SL-M4020ND	192.168.160.127	ZDEJB07JC10TF3
19	Farmácia	ZEBRA ZD2301	192.168.160.251	D5J224812867
20	Farmácia	ZEBRA ZD2301	192.168.160.41	
21	Farmácia	HP LaserJet Flow MFP E52645	192.168.160.124	BRBSQ77012
22	Gestão de Pessoas / RH	HP LaserJet Flow MFP E52645	192.168.160.108	BRBSQ8Q02W
23	Informática	HP LaserJet Flow MFP E52645	192.168.160.12	BRBSQ7D0P7
24	Informática	GS-2405T	192.168.160.9	
25	Informática - Reserva	Samsung SL-M4020ND	192.168.	ZDEJB07JC10TML
26	Informática - Reserva	ZEBRA ZD2301	192.168	
27	Informática - Reserva	ZEBRA ZD2301	192.168	
28	Informática - Reserva	ZEBRA ZD2301	192.168	
29	Informática - Reserva	ZEBRA ZD411D		DFJ240806155
30	Informática - Reserva	ZEBRA ZD411D		DFJ240806163
31	Informática - Reserva	ZEBRA GX420T		31J10140927
32	Informática - Reserva	Samsung SL-M4020ND	192.168	ZDEJB07JC10TJW
33	Informática - Reserva	CPL-775ND		Z6B8BJHC500017L
34	Lactário	ZEBRA ZD2301	192.168.160.109	
35	Manutenção	HP LaserJet Flow MFP E52645	192.168.160.120	BRBSQ8P007
36	Medicação	Samsung SL-M4020ND	192.168.160.140	ZDEJB07K622YKY
37	NIR/Remoção	HP LaserJet Flow MPF E52645	192.168.160.115	BRBSQ8P0C8
38	Nutrição	Samsung SL-M4020ND	192.168.160.210	ZDEJB07JC10TN9
39	OPME	HP LaserJet Flow MFP E52645	192.168.160.107	BRBSQ8P0LW
40	Ortopedia	Samsung SL-M4020ND	192.168.160.134	ZDEJB07JC10TNX
41	Registro/Coordenação	HP LaserJet Flow MFP E52645	192.168.160.116	BRBSQ8Q001
42	Registro/Internação	ZEBRA ZD2301	192.168.160.252	
43	Registro/Recepção	Samsung SL-M4020ND	192.168.160.128	ZDEJB07JC10TNF
44	Registro/Recepção	ZEBRA ZD2301	192.168.160.130	
45	Registro/Recepção	ZEBRA ZD411D	192.168.160.25	
46	Registro/Recepção	ZEBRA ZD411D	192.168.160.206	
47	Registro/Visita	ZEBRA ZD2301	192.168.160.245	
48	Rouparia	Samsung SL-M4020ND	192.168.160.233	ZDEJB07JC10TJ6
49	SAME	HP LaserJet Flow MFP E52645	192.168.160.100	BRBSQ8Q02L
50	SCIH	HP LaserJet Flow MFP E52645	192.168.160.103	BRBSQ9G0H5
51	SCIH	ZEBRA ZD2301	Via cabo	D5N230504111
52	Segurança do Trabalho	Samsung SL-M4020ND	192.168.160.138	ZDEJB07JC10TMY
53	Serviço Social (Adm)	HP LaserJet Flow MFP E52645	192.168.160.101	BRBSQ9F0JZ
54	Serviço Social (Coord)	Samsung SL-M4020ND	192.168.160.131	ZDEJB07JC10TMV
55	Suprimentos	HP LaserJet Flow MFP E52645	192.168.160.119	BRBSQ8L0RT
56	Sutura	Samsung SL-M4020ND	192.168.160.136	ZDEJB07JC10TEW
57	UTI Adulto Roxa	HP LaserJet Flow MFP E52645	192.168.160.113	BRBSQ7D0S4
58	UTI Adulto Verde	HP LaserJet Flow MFP E52645	192.168.160.111	BRBSQ8P0BY
59	UTI Pediatrica	HP LaserJet Flow MFP E52645	192.168.160.117	BRBSQ8P092
60	Vacina	Samsung SL-M4020ND	192.168.160.6	ZDEJB07JC10TN0
