Listagem de Monitores:

Nº	Setor	Marca	Modelo	Serial	Estação
1	Anestesia	HP	P22aG4	BRC220012Y	SMSHMJSH239
2	CEJAM - RH	HP	P24aG5	BRC42103LF	SMSHMJSH149
3	Central de Material	HP	P22aG4	BRC21503YQ	SMSHMJSH113
4	Centro Cirúrgico	HP	P22aG4	BRC21501NV	SMSHMJSH015
5	Centro Cirúrgico	HP	P22aG4	BRC220012R	SMSHMJSH031
6	Centro Cirúrgico	HP	P22aG4	BRC21704LF	SMSHMJSH037
7	Centro Cirúrgico	HP	P22aG4	BRC22002L3	SMSHMJSH059
8	Centro Cirúrgico	HP	P22aG4	BRC21501S5	SMSHMJSH089
9	Clinica Cirúrgica	HP	P22aG4	BRC21500PQ	SMSHMJSH054
10	Clinica Cirúrgica	HP	P22aG4	BRC220013B	SMSHMJSH082
11	Clinica Cirúrgica	HP	P22aG4	BRC215033X	SMSHMJSH083
12	Clinica Cirúrgica	HP	P22aG4	BRC2200132	SMSHMJSH091
13	Clinica Cirúrgica	HP	P22aG4	BRC21500RB	SMSHMJSH200
14	Clinica Médica Feminina	HP	P22aG4	BRC220007N	SMSHMJSH012
15	Clinica Médica Feminina	HP	P22aG4	BRC21704JR	SMSHMJSH035
16	Clinica Médica Feminina	HP	P22aG4	BRC21501PD	SMSHMJSH051
17	Clinica Médica Feminina	HP	P22aG4	BRC2200135	SMSHMJSH072
18	Clinica Médica Feminina	HP	P22aG4	BRC21704GR	SMSHMJSH216
19	Clinica Médica Masculina	HP	P22aG4	BRC220020C	SMSHMJSH006
20	Clinica Médica Masculina	HP	P22aG4	BRC22002LG	SMSHMJSH010
21	Clinica Médica Masculina	HP	P22aG4	BRC215034L	SMSHMJSH053
22	Clinica Médica Masculina	HP	P22aG4	BRC2200133	SMSHMJSH078
23	Clinica Médica Masculina	HP	P22aG4	BRC21704KR	SMSHMJSH079
24	Clinica Pediátrica	HP	P22aG4	BRC215034C	SMSHMJSH020
25	Clinica Pediátrica	HP	P22aG4	BRC21704GW	SMSHMJSH080
26	Clinica Pediátrica	HP	P22aG4	BRC215033Z	SMSHMJSH087
27	Clinica Pediátrica	HP	P22aG4	BRC2150346	SMSHMJSH097
28	Clinica Pediátrica	HP	P22aG4	BRC22000JY	SMSHMJSH117
29	Consultório1	HP	P22aG4	BRC21704LB	SMSHMJSH119
30	Coordenação de Enfermagem	HP	P22aG4	BRC21704KV	SMSHMJSH008
31	Coordenação Médica	HP	P22aG4	BRC21500RJ	SMSHMJSH047
32	Coordenação Médica	HP	P22aG4	BRC215034P	SMSHMJSH092
33	Coordenação Nutrição	HP	P22aG4	BRC21501PN	SMSHMJSH011
34	Coordenação Nutrição	HP	P22aG4	BRC21501NX	SMSHMJSH062
35	Diretoria Administrativa	HP	P22aG4	BRC220012M	SMSHMJSH021
36	Diretoria Administrativa	HP	P22aG4	BRC2200078	SMSHMJSH055
37	Diretoria Administrativa	HP	P22aG4	BRC2150342	SMSHMJSH056
38	Diretoria Administrativa	HP	P22aG4	BRC22002L4	SMSHMJSH060
39	Diretoria Administrativa	AOC	M2470SWH2	HBCLCXA003675	SMSHMJSH128
40	Diretoria Administrativa	AOC	M2470SWH2	HBCLCXA003528	SMSHMJSH131
41	Diretoria Administrativa	AOC	M2470SWH2	HBCLCXA012789	SMSHMJSH132
42	Diretoria de Enfermagem	HP	P22aG4	BRC22002KS	SMSHMJSH067
43	Diretoria de Enfermagem	HP	P22aG4	BRC21500RG	SMSHMJSH085
44	Diretoria de Enfermagem	HP	P22aG4	BRC2200130	SMSHMJSH100
45	Diretoria de Enfermagem	HP	P22aG4	BRC21501NZ	SMSHMJSH280
46	Diretoria Técnica	AOC	M2470SWH2	HBCLCXA013155	SMSHMJSH123
47	Diretoria Técnica	HP	P24aG4	BRC32300JC	SMSHMJSH125
48	Diretoria Técnica	AOC	M2470SWH2	HBCLCXA012481	SMSHMJSH126
49	Diretoria Técnica	AOC	M2470SWH2	HBCLCXA005533	SMSHMJSH127
50	Educação Permanente	HP	P22aG4	BRC21501MP	SMSHMJSH014
51	Educação Permanente	HP	P22aG4	BRC2200136	SMSHMJSH096
52	Educação Permanente	HP	P22aG4	BRC21704KT	SMSHMJSH112
53	Emergência	HP	P22aG4	BRC22002LS	SMSHMJSH042
54	Emergência	HP	P22aG4	BRC220007R	SMSHMJSH065
55	Farmácia	HP	P22aG4	BRC21500QJ	SMSHMJSH003
56	Farmácia	HP	P22aG4	BRC22002L2	SMSHMJSH028
57	Farmácia	HP	P22aG4	BRC220007T	SMSHMJSH101
58	Fonoaudiologia	HP	P22aG4	BRC2200075	SMSHMJSH081
59	Gasometria	HP	P22aG4	BRC21704KL	SMSHMJSH074
60	Gestão de Pessoas / RH	HP	P22aG4	BRC220012F	SMSHMJSH002
61	Gestão de Pessoas / RH	HP	P22aG4	BRC220012W	SMSHMJSH073
62	Gestão de Pessoas / RH	HP	P22aG4	BRC21501SJ	SMSHMJSH107
63	Gestão de Pessoas / RH	HP	P22aG4	BRC22002KW	SMSHMJSH109
64	Gestão de Pessoas / RH	HP	P22aG4	BRC21501N9	SMSHMJSH121
65	Gestão de Pessoas / RH	HP	P22aG4	BRC21501PB	SMSHMJSH197
66	Gestão de Pessoas / RH	HP	P22aG4	BRC21501ND	SMSHMJSH199
67	Gestão de Pessoas / RH	HP	P22aG4	BRC220007X	SMSHMJSH199
68	Informática	HP	P24aG4	BRC32300K3	SMSHMJSH124
69	Informática	HP	P24aG5	BRC42103LR	SMSHMJSH124
70	Informática	HP	P24aG4	BRC32300C0	SMSHMJSH129
71	Informática	HP	P24aG5	BRC42105TD	SMSHMJSH129
72	Informática	HP	P24aG4	BRC32300JZ	SMSHMJSH270
73	Informática	HP	P24aG5	BRC42103LH	SMSHMJSH270
74	Informática	HP	P24aG4	BRC32300ZW	SMSHMJSH289
75	Informática	HP	P24a G5	BRC42204LC	SMSHMJSH289
76	Informática - Reserva	HP	P22aG4	BRBSQ9F0JZ	
77	Informática - Reserva	HP	P22aG4	BRC215033M	
