Listagem de CPUs:

ID	Setor	Estação	IP	Serial
1	Anestesia	SMSHMJSH239	192.168.160.71	BRJ429JN62
2	CEJAM - RH	SMSHMJSH149	192.168.160.149	BRJ212WDZ0
3	Central de Material	SMSHMJSH113	192.168.161.51	BRJ218XY2D
4	Centro Cirúrgico	SMSHMJSH015	192.168.160.30	BRJ2453TCN
5	Centro Cirúrgico	SMSHMJSH031	192.168.160.145	BRJ218XY5G
6	Centro Cirúrgico	SMSHMJSH037	192.168.160.247	BRJ212WFQ5
7	Centro Cirúrgico	SMSHMJSH059	192.168.160.231	BRJ210VYBS
8	Centro Cirúrgico	SMSHMJSH089	192.168.160.49	BRJ210VY7H
9	Clinica Cirúrgica	SMSHMJSH054	192.168.161.60	BRJ210VYBP
10	Clinica Cirúrgica	SMSHMJSH082	192.168.160.10	BRJ212WFQN
11	Clinica Cirúrgica	SMSHMJSH083	192.168.160.7	BRJ212WFRB
12	Clinica Cirúrgica	SMSHMJSH091	192.168.160.11	BRJ218XY4N
13	Clinica Cirúrgica	SMSHMJSH200	192.168.161.53	BRJ210VY7X
14	Clinica Médica Feminina	SMSHMJSH012	192.168.161.11	BRJ431JZGB
15	Clinica Médica Feminina	SMSHMJSH035	192.168.160.193	BRJ212WFPK
16	Clinica Médica Feminina	SMSHMJSH051	192.168.160.192	BRJ212WFR4
17	Clinica Médica Feminina	SMSHMJSH072	192.168.160.194	BRJ218XY5C
18	Clinica Médica Feminina	SMSHMJSH216	192.168.160.223	BRJ212WDYF
19	Clinica Médica Masculina	SMSHMJSH006	192.168.161.15	BRJ432K1SY
20	Clinica Médica Masculina	SMSHMJSH010	192.168.161.10	BRJ432K1SQ
21	Clinica Médica Masculina	SMSHMJSH053	192.168.160.197	BRJ212WFTG
22	Clinica Médica Masculina	SMSHMJSH078	192.168.160.195	BRJ212WFPB
23	Clinica Médica Masculina	SMSHMJSH079	192.168.160.196	BRJ212WFP1
24	Clinica Pediátrica	SMSHMJSH020	192.168.161.20	BRJ210VY8X
25	Clinica Pediátrica	SMSHMJSH080	192.168.160.153	BRJ218XY2N
26	Clinica Pediátrica	SMSHMJSH087	192.168.160.152	BRJ212WFR6
27	Clinica Pediátrica	SMSHMJSH097	192.168.160.165	BRJ218XY2G
28	Clinica Pediátrica	SMSHMJSH117	192.168.160.154	BRJ212WFPW
29	Consultório1	SMSHMJSH119	192.168.160.185	BRJ212WFSW
30	Coordenação de Enfermagem	SMSHMJSH008	192.168.160.95	BRJ212WDX4
31	Coordenação Médica	SMSHMJSH047	192.168.160.93	BRJ212WDS6
32	Coordenação Médica	SMSHMJSH092	192.168.161.150	BRJ210VY9D
33	Coordenação Nutrição	SMSHMJSH011	192.168.161.22	BRJ212WDYG
34	Coordenação Nutrição	SMSHMJSH062	192.168.160.83	BRJ210VY72
35	Diretoria Administrativa	SMSHMJSH021	192.168.161.17	BRJ212WDT8
36	Diretoria Administrativa	SMSHMJSH055	192.168.160.32	BRJ212WDSB
37	Diretoria Administrativa	SMSHMJSH056	192.168.160.143	BRJ150SKDY
38	Diretoria Administrativa	SMSHMJSH060	192.168.160.31	BRJ210VYB4
39	Diretoria Administrativa	SMSHMJSH128	192.168.160.29	BRJ150SK6C
40	Diretoria Administrativa	SMSHMJSH131	192.168.160.26	BRJ150SK9F
41	Diretoria Administrativa	SMSHMJSH132	192.168.160.28	BRJ150SJVD
42	Diretoria de Enfermagem	SMSHMJSH067	192.168.160.160	BRJ212WDZM
43	Diretoria de Enfermagem	SMSHMJSH085	192.168.161.16	BRJ210VYBJ
44	Diretoria de Enfermagem	SMSHMJSH100	192.168.160.203	BRJ429JN6W
45	Diretoria de Enfermagem	SMSHMJSH280	192.168.160.18	BRJ218XY5W
46	Diretoria Técnica	SMSHMJSH123	192.168.161.62	BRJ150SK4R
47	Diretoria Técnica	SMSHMJSH125	192.168.160.33	BRJ150SK86
48	Diretoria Técnica	SMSHMJSH126	192.168.160.24	BRJ150SJZF
49	Diretoria Técnica	SMSHMJSH127	192.168.160.186	BRJ150SKC0
50	Educação Permanente	SMSHMJSH014	192.168.160.94	BRJ210VY88
51	Educação Permanente	SMSHMJSH096	192.168.160.22	BRJ212WDY2
52	Educação Permanente	SMSHMJSH112	192.168.160.75	BRJ218XY3R
53	Emergência	SMSHMJSH042	192.168.160.141	BRJ218XY4X
54	Emergência	SMSHMJSH065	192.168.160.92	BRJ350C1F2
55	Farmácia	SMSHMJSH003	192.168.160.74	BRJ210VY8M
56	Farmácia	SMSHMJSH028	192.168.160.66	BRJ210VY8J
57	Farmácia	SMSHMJSH101	192.168.161.46	BRJ212WFVX
58	Fonoaudiologia	SMSHMJSH081	192.168.160.5	BRJ218XY2Z
59	Gasometria	SMSHMJSH074	192.168.160.63	BRJ218XY4S
60	Gestão de Pessoas / RH	SMSHMJSH002	192.168.160.61	BRJ212WDXH
61	Gestão de Pessoas / RH	SMSHMJSH073	192.168.160.44	BRJ212WDXG
62	Gestão de Pessoas / RH	SMSHMJSH107	192.168.160.58	BRJ212WFPN
63	Gestão de Pessoas / RH	SMSHMJSH109	192.168.161.29	BRJ212WFQV
64	Gestão de Pessoas / RH	SMSHMJSH121	192.168.160.156	BRJ150SKWB
65	Gestão de Pessoas / RH	SMSHMJSH197	192.168.161.180	BRJ212WDT0
66	Gestão de Pessoas / RH	SMSHMJSH199	192.168.160.38	BRJ218XY54
67	Gestão de Pessoas / RH	SMSHMJSH401	192.168.161.49	BRJ429JN6C
